feature,coefficient,absolute_coefficient
numeric__sleep_hours,-2.880647432205188,2.880647432205188
numeric__anxiety_level,2.5004726536757627,2.5004726536757627
categorical__gender_male,-2.2667115713128707,2.2667115713128707
numeric__stress_level,2.132073478679403,2.132073478679403
numeric__daily_social_media_hours,1.9130142054743438,1.9130142054743438
categorical__platform_usage_Instagram,-1.6876277071845363,1.6876277071845363
categorical__social_interaction_level_low,-1.2956147086569267,1.2956147086569267
categorical__social_interaction_level_high,-1.2658460283579078,1.2658460283579078
categorical__platform_usage_TikTok,-0.8663046686206313,0.8663046686206313
categorical__gender_female,-0.8610500764215354,0.8610500764215354
categorical__platform_usage_Both,-0.5738292719292505,0.5738292719292505
categorical__social_interaction_level_medium,-0.5663009107195826,0.5663009107195826
numeric__addiction_level,0.4880068754093899,0.4880068754093899
numeric__academic_performance,0.47464510756046807,0.47464510756046807
numeric__age,-0.14484784388224314,0.14484784388224314
numeric__screen_time_before_sleep,-0.05843092731457217,0.05843092731457217
numeric__physical_activity,-0.03571121438243834,0.03571121438243834
